"Control_1" "Control_2" "ToxA_1" "ToxA_2" "ToxB_1" "ToxB_2"
"HGLibA_00110" 0 1 0 0 0 0
"HGLibA_00111" 0 1 0 0 0 0
"HGLibA_00112" 17 1 0 0 1 0
"HGLibA_00113" 0 0 1 0 0 0
"HGLibA_00114" 0 0 0 6 10 2
"HGLibA_00115" 0 1 0 1 2 0
"HGLibA_00116" 1 0 0 0 0 0
"HGLibA_00117" 7 9 47 25 0 2
"HGLibA_00118" 0 0 0 0 0 0
"HGLibA_00119" 1 0 0 0 0 0
"HGLibA_00120" 0 2 0 0 0 0
"HGLibA_00121" 0 0 1 0 0 0
"HGLibA_00122" 0 0 0 0 0 0
"HGLibA_00123" 1 9 0 0 0 0
"HGLibA_00124" 1 0 0 0 0 0
"HGLibA_00125" 0 0 0 0 0 0
"HGLibA_00126" 1 0 0 0 0 0
"HGLibA_00127" 2 0 0 0 3 2
"HGLibA_00128" 0 0 0 0 0 0
"HGLibA_00129" 5 0 0 0 0 0
"HGLibA_00130" 0 0 0 0 0 0
"HGLibA_00131" 9 7 8 12 0 0
"HGLibA_00132" 2 0 0 0 0 0
"HGLibA_00133" 3 1 2 0 0 0
"HGLibA_00134" 1 2 4 1 0 0
"HGLibA_00135" 6 0 0 0 1 0
"HGLibA_00136" 0 0 0 0 0 0
"HGLibA_00137" 0 0 0 0 3 2
"HGLibA_00138" 0 0 0 0 0 0
"HGLibA_00139" 17 1 0 0 0 0
"HGLibA_00140" 0 2 0 0 0 0
"HGLibA_00141" 0 10 0 0 2 2
"HGLibA_00142" 0 8 0 0 0 0
"HGLibA_00143" 12 6 0 0 0 0
"HGLibA_00144" 2 15 0 0 0 0
"HGLibA_00145" 0 33 0 0 0 0
"HGLibA_00146" 9 0 0 0 0 0
"HGLibA_00147" 1 2 0 0 0 0
"HGLibA_00148" 5 1 0 0 0 0
"HGLibA_00149" 0 1 0 0 0 0
"HGLibA_00150" 0 0 0 0 0 1
"HGLibA_00151" 0 6 30 17 0 0
"HGLibA_00152" 1 6 0 1 0 0
"HGLibA_00153" 0 2 0 0 1 0
"HGLibA_00154" 0 0 0 1 0 2
"HGLibA_00155" 7 0 0 0 3 3
"HGLibA_00156" 11 4 0 0 0 0
"HGLibA_00157" 0 0 0 0 0 0
"HGLibA_00158" 0 6 0 0 0 0
"HGLibA_00159" 4 0 0 0 0 0
"HGLibA_00160" 1 2 2 4 14 19
"HGLibA_00161" 0 0 0 0 0 0
"HGLibA_00162" 0 2 1 1 0 0
"HGLibA_00163" 0 5 0 1 0 1
"HGLibA_00164" 1 0 0 2 2 2
"HGLibA_00165" 2 7 2 3 0 0
"HGLibA_00166" 0 3 0 0 3 2
"HGLibA_00167" 1 0 0 0 0 0
"HGLibA_00168" 5 2 0 0 0 0
"HGLibA_00169" 0 0 4 1 0 0
"HGLibA_00170" 0 0 3 4 4 5
"HGLibA_00171" 0 6 0 0 0 0
"HGLibA_00172" 0 0 0 0 0 0
"HGLibA_00173" 0 0 0 0 0 0
"HGLibA_00174" 0 1 10 7 8 5
"HGLibA_00175" 0 14 0 0 0 0
"HGLibA_00176" 1 17 0 8 3 2
"HGLibA_00177" 4 0 0 0 0 0
"HGLibA_00178" 0 0 0 0 0 0
"HGLibA_00179" 0 2 0 0 0 0
"HGLibA_00180" 0 0 0 0 2 0
"HGLibA_00181" 4 0 0 0 0 1
"HGLibA_00182" 2 6 0 0 0 0
"HGLibA_00183" 0 0 0 0 0 0
"HGLibA_00184" 0 0 2 1 0 4
"HGLibA_00185" 6 3 0 0 1 1
"HGLibA_00186" 1 2 0 0 0 0
"HGLibA_00187" 0 4 0 0 0 0
"HGLibA_00188" 5 6 0 0 0 0
"HGLibA_00189" 0 0 0 0 0 0
"HGLibA_00190" 0 0 0 11 0 0
"HGLibA_00191" 0 11 1 0 0 0
"HGLibA_00192" 7 0 0 0 0 0
"HGLibA_00193" 1 0 0 0 0 0
"HGLibA_00194" 1 2 2 3 5 15
"HGLibA_00195" 9 1 0 0 0 0
"HGLibA_00196" 0 0 0 0 0 0
"HGLibA_00197" 21 0 0 0 0 0
"HGLibA_00198" 0 0 0 0 0 0
"HGLibA_00199" 1 1 1 0 1 3
"HGLibA_00200" 0 0 0 0 0 0
"HGLibA_00201" 0 0 0 0 0 0
"HGLibA_00202" 1 3 0 1 0 0
"HGLibA_00203" 2 2 2 7 3 0
"HGLibA_00204" 0 8 0 0 0 0
"HGLibA_00205" 0 2 0 1 0 0
"HGLibA_00206" 4 2 0 0 0 0
"HGLibA_00207" 0 0 0 0 0 0
"HGLibA_00208" 0 0 0 0 0 0
"HGLibA_00209" 3 0 0 0 0 0
"HGLibA_00210" 0 0 0 5 2 5
"HGLibA_00211" 0 1 0 0 0 0
"HGLibA_00212" 3 3 0 0 0 0
"HGLibA_00213" 0 0 0 0 0 0
"HGLibA_00214" 0 1 0 0 0 0
"HGLibA_00215" 1 6 0 0 0 0
"HGLibA_00216" 3 4 0 0 0 0
"HGLibA_00217" 11 13 0 0 0 0
"HGLibA_00218" 0 0 0 0 0 0
"HGLibA_00219" 5 2 0 7 2 2
"HGLibA_00220" 0 0 2 1 1 0
"HGLibA_00221" 0 0 0 0 0 0
"HGLibA_00222" 0 16 0 0 0 0
"HGLibA_00223" 0 5 2 0 0 2
"HGLibA_00224" 0 0 0 0 0 0
"HGLibA_00225" 0 0 0 0 0 0
"HGLibA_00226" 4 0 0 0 0 0
"HGLibA_00227" 1 0 0 0 0 0
"HGLibA_00228" 0 5 0 0 0 0
"HGLibA_00229" 0 1 1 0 4 1
"HGLibA_00230" 1 0 0 0 0 0
"HGLibA_00231" 0 0 0 0 0 0
"HGLibA_00232" 0 0 0 0 0 0
"HGLibA_00233" 0 0 0 0 0 0
"HGLibA_00234" 15 0 2 0 1 0
"HGLibA_00235" 0 0 0 0 0 0
"HGLibA_00236" 0 0 0 0 0 0
"HGLibA_00237" 4 0 1 2 1 0
"HGLibA_00238" 0 0 0 0 0 0
"HGLibA_00239" 7 0 0 0 1 0
"HGLibA_00240" 0 2 0 0 526 612
"HGLibA_00241" 1 0 0 0 2 0
"HGLibA_00242" 20 0 0 0 5 5
"HGLibA_00243" 10 14 0 0 0 0
"HGLibA_00244" 0 1 0 0 0 0
"HGLibA_00245" 0 2 0 0 0 0
"HGLibA_00246" 5 2 85 55 3 3
"HGLibA_00247" 11 0 0 0 0 0
"HGLibA_00248" 0 0 1 1 6 3
"HGLibA_00249" 0 0 0 0 0 0
"HGLibA_00250" 3 3 0 3 6 8
"HGLibA_00251" 5 6 0 0 0 0
"HGLibA_00252" 0 0 0 0 0 0
"HGLibA_00253" 0 2 0 0 0 0
"HGLibA_00254" 0 0 0 0 0 0
"HGLibA_00255" 0 0 0 5 0 0
"HGLibA_00256" 0 0 0 0 0 0
"HGLibA_00257" 6 0 0 0 0 0
"HGLibA_00258" 0 17 0 3 0 0
"HGLibA_00259" 0 0 0 0 0 0
"HGLibA_00260" 12 1 0 1 5 0
"HGLibA_00261" 1 0 0 0 0 0
"HGLibA_00262" 0 0 0 0 2 0
"HGLibA_00263" 0 3 0 0 1 1
"HGLibA_00264" 2 16 0 3 2 6
"HGLibA_00265" 0 4 0 0 0 0
"HGLibA_00266" 6 0 0 0 0 0
"HGLibA_00267" 3 0 0 0 0 0
"HGLibA_00268" 0 0 0 0 0 0
"HGLibA_00269" 2 0 0 0 0 0
"HGLibA_00270" 26 1 0 0 0 0
"HGLibA_00271" 0 0 0 0 0 0
"HGLibA_00272" 0 15 50 27 0 2
"HGLibA_00273" 0 2 87 68 7 7
"HGLibA_00274" 8 4 0 0 2 0
"HGLibA_00275" 4 2 0 0 0 0
"HGLibA_00276" 0 0 48 32 5 3
"HGLibA_00277" 1 0 4 2 8 5
"HGLibA_00278" 0 2 0 0 0 0
"HGLibA_00279" 5 4 2 0 2 1
"HGLibA_00280" 4 0 0 0 0 0
"HGLibA_00281" 5 2 6 4 0 0
"HGLibA_00282" 3 0 0 0 0 0
"HGLibA_00283" 13 0 0 1 2 0
"HGLibA_00284" 0 0 0 0 1 0
"HGLibA_00285" 4 5 20 19 5 5
"HGLibA_00286" 2 1 0 0 0 0
"HGLibA_00287" 5 0 0 0 0 0
"HGLibA_00288" 5 1 0 0 0 0
"HGLibA_00289" 0 3 0 0 0 0
"HGLibA_00290" 2 0 18 16 0 0
"HGLibA_00291" 1 0 0 0 0 0
"HGLibA_00292" 0 0 0 0 0 0
"HGLibA_00293" 0 11 0 0 0 0
"HGLibA_00294" 1 1 0 0 0 0
"HGLibA_00295" 1 1 0 0 0 0
"HGLibA_00296" 3 2 0 0 0 1
"HGLibA_00297" 3 2 0 0 0 0
"HGLibA_00298" 4 15 10 6 0 1
"HGLibA_00299" 0 0 0 0 0 0
"HGLibA_00300" 0 0 25 32 0 0
"HGLibA_00301" 10 6 0 0 1 2
"HGLibA_00302" 1 13 0 0 1 0
"HGLibA_00303" 0 0 0 0 0 0
"HGLibA_00304" 11 1 0 0 0 0
"HGLibA_00305" 3 0 6 9 2 0
"HGLibA_00306" 3 3 0 2 0 0
"HGLibA_00307" 0 6 0 0 0 0
"HGLibA_00308" 0 5 0 1 0 1
"HGLibA_00309" 14 0 0 0 1 3
"HGLibA_00310" 2 6 7 6 0 0
"HGLibA_00311" 69 4 0 0 0 0
"HGLibA_00312" 12 5 0 0 0 0
"HGLibA_00313" 4 2 0 0 3 0
"HGLibA_00314" 0 0 0 0 0 0
"HGLibA_00315" 33 0 0 3 0 0
"HGLibA_00316" 7 0 0 0 0 0
"HGLibA_00317" 0 0 0 0 0 0
"HGLibA_00318" 1 2 0 0 0 0
"HGLibA_00319" 0 0 0 0 0 0
"HGLibA_00320" 0 0 0 0 0 0
"HGLibA_00321" 0 0 0 0 0 0
"HGLibA_00322" 0 6 0 0 0 0
"HGLibA_00323" 0 15 0 1 0 0
"HGLibA_00324" 3 0 0 0 0 0
"HGLibA_00325" 3 2 0 0 0 0
"HGLibA_00326" 2 0 0 0 0 0
"HGLibA_00327" 1 0 0 0 0 0
"HGLibA_00328" 9 0 0 1 0 0
"HGLibA_00329" 9 0 0 0 0 0
"HGLibA_00330" 4 10 0 0 0 0
"HGLibA_00331" 3 0 6 3 1 1
"HGLibA_00332" 2 0 0 0 0 0
"HGLibA_00333" 0 0 0 0 0 0
"HGLibA_00334" 3 0 0 0 0 0
"HGLibA_00335" 16 2 4 3 0 1
"HGLibA_00336" 6 1 0 0 0 0
"HGLibA_00337" 0 4 0 0 0 1
"HGLibA_00338" 0 1 0 0 0 0
"HGLibA_00339" 4 1 0 0 0 0
"HGLibA_00340" 3 14 0 0 0 0
"HGLibA_00341" 2 0 0 0 0 0
"HGLibA_00342" 16 4 0 4 4 2
"HGLibA_00343" 0 0 0 1 7 1
"HGLibA_00344" 7 4 0 0 1 0
"HGLibA_00345" 1 0 17 4 0 0
"HGLibA_00346" 0 5 0 0 1 0
"HGLibA_00347" 2 1 25 15 0 1
"HGLibA_00348" 1 1 0 0 2 0
"HGLibA_00349" 20 7 0 0 0 0
"HGLibA_00350" 0 0 0 0 0 0
"HGLibA_00351" 4 0 0 0 0 0
"HGLibA_00352" 0 1 0 0 0 0
"HGLibA_00353" 0 0 0 0 0 0
"HGLibA_00354" 0 1 0 0 0 1
"HGLibA_00355" 0 1 0 0 0 0
"HGLibA_00356" 4 6 0 0 0 0
"HGLibA_00357" 19 15 6 16 4 1
"HGLibA_00358" 0 0 0 0 0 0
"HGLibA_00359" 3 0 23 30 6 2
"HGLibA_00360" 7 0 0 0 0 0
"HGLibA_00361" 7 2 0 1 0 0
"HGLibA_00362" 0 4 1 0 0 0
"HGLibA_00363" 0 0 0 0 0 0
"HGLibA_00364" 5 9 0 0 309 312
"HGLibA_00365" 0 0 0 0 0 0
"HGLibA_00366" 3 0 0 0 0 0
"HGLibA_00367" 0 0 0 0 0 0
"HGLibA_00368" 1 3 0 0 0 0
"HGLibA_00369" 1 3 1 0 2 1
"HGLibA_00370" 7 1 0 0 0 0
"HGLibA_00371" 10 3 0 0 0 0
"HGLibA_00372" 1 6 0 0 0 0
"HGLibA_00373" 18 6 5 9 2 1
"HGLibA_00374" 1 0 0 0 0 1
"HGLibA_00375" 0 0 0 18 5 4
"HGLibA_00376" 0 1 0 1 0 0
"HGLibA_00377" 2 2 0 0 0 0
"HGLibA_00378" 0 5 0 0 0 0
"HGLibA_00379" 1 0 0 0 0 0
"HGLibA_00380" 0 11 0 0 0 0
"HGLibA_00381" 0 0 0 0 0 0
"HGLibA_00382" 9 14 16 23 0 1
"HGLibA_00383" 0 0 4 1 0 0
"HGLibA_00384" 0 0 0 0 0 0
"HGLibA_00385" 6 0 0 3 0 0
"HGLibA_00386" 2 3 0 0 0 0
"HGLibA_00387" 9 5 0 0 1 0
"HGLibA_00388" 2 0 0 0 0 0
"HGLibA_00389" 5 0 0 0 0 1
"HGLibA_00390" 2 0 0 3 1 0
"HGLibA_00391" 1 1 118 45 20 9
"HGLibA_00392" 5 0 26 15 0 0
"HGLibA_00393" 0 23 0 2 0 0
"HGLibA_00394" 0 1 0 0 0 0
"HGLibA_00395" 1 0 0 0 0 0
"HGLibA_00396" 5 7 6 5 1 0
"HGLibA_00397" 0 3 0 0 0 0
"HGLibA_00398" 1 0 0 0 0 0
"HGLibA_00399" 0 0 0 0 0 0
"HGLibA_00400" 4 0 5 4 0 0
"HGLibA_00401" 0 0 0 0 0 0
"HGLibA_00402" 0 0 0 0 0 0
"HGLibA_00403" 4 8 0 0 0 1
"HGLibA_00404" 19 3 5 5 3 26
"HGLibA_00405" 0 8 0 0 0 0
"HGLibA_00406" 0 0 0 0 0 0
"HGLibA_00407" 0 0 0 0 0 0
"HGLibA_00408" 0 0 0 0 0 0
"HGLibA_00409" 18 0 0 0 0 0
"HGLibA_00410" 4 4 0 0 0 0
"HGLibA_00411" 9 2 7 3 0 0
"HGLibA_00412" 0 0 1 0 2 3
"HGLibA_00413" 22 1 4 3 6 11
"HGLibA_00414" 0 3 0 10 8 4
"HGLibA_00415" 16 20 0 0 0 0
"HGLibA_00416" 0 0 0 0 0 0
"HGLibA_00417" 0 0 0 0 0 0
"HGLibA_00418" 9 1 0 0 1 0
"HGLibA_00419" 0 6 0 0 0 0
"HGLibA_00420" 0 0 0 0 0 0
"HGLibA_00421" 0 0 0 0 0 0
"HGLibA_00422" 0 6 0 1 3 1
"HGLibA_00423" 11 1 0 0 0 0
"HGLibA_00424" 3 4 0 0 0 0
"HGLibA_00425" 0 1 0 0 0 1
"HGLibA_00426" 12 4 27 19 5 6
"HGLibA_00427" 0 3 0 0 1 0
"HGLibA_00428" 0 7 11 5 0 0
"HGLibA_00429" 0 8 0 0 0 0
"HGLibA_00430" 1 0 3 1 0 0
"HGLibA_00431" 0 1 0 0 0 0
"HGLibA_00432" 0 7 0 0 0 0
"HGLibA_00433" 0 1 2 0 2 0
"HGLibA_00434" 14 12 0 0 0 1
"HGLibA_00435" 0 0 0 0 0 0
"HGLibA_00436" 14 0 17 15 4 5
"HGLibA_00437" 3 1 0 0 0 0
"HGLibA_00438" 0 10 0 0 0 0
"HGLibA_00439" 1 3 3 10 3 2
"HGLibA_00440" 0 0 0 0 0 0
"HGLibA_00441" 3 0 0 0 0 0
"HGLibA_00442" 0 0 0 0 0 0
"HGLibA_00443" 0 0 0 0 0 0
"HGLibA_00444" 28 3 0 0 0 2
"HGLibA_00445" 0 0 0 0 0 0
"HGLibA_00446" 0 0 1 0 7 2
"HGLibA_00447" 0 0 0 0 0 0
"HGLibA_00448" 0 0 0 0 0 0
"HGLibA_00449" 8 3 1 0 0 0
"HGLibA_00450" 0 1 65 36 1 3
"HGLibA_00451" 0 11 0 0 0 0
"HGLibA_00452" 0 4 0 2 0 1
"HGLibA_00453" 0 0 0 0 0 0
"HGLibA_00454" 2 0 0 0 1 2
"HGLibA_00455" 6 61 0 0 0 0
"HGLibA_00456" 1 1 30 33 0 0
"HGLibA_00457" 0 0 0 0 0 0
"HGLibA_00458" 0 0 0 0 0 0
"HGLibA_00459" 0 0 0 0 0 0
"HGLibA_00460" 4 0 0 0 0 1
"HGLibA_00461" 0 0 0 0 1 1
"HGLibA_00462" 1 12 9 17 5 2
"HGLibA_00463" 0 4 0 0 0 0
"HGLibA_00464" 32 7 0 0 0 0
"HGLibA_00465" 5 0 0 0 0 1
"HGLibA_00466" 0 1 0 0 0 0
"HGLibA_00467" 2 4 3 2 0 0
"HGLibA_00468" 8 1 0 0 0 0
"HGLibA_00469" 3 7 0 1 0 0
"HGLibA_00470" 0 9 0 0 0 0
"HGLibA_00471" 3 1 2 3 0 0
"HGLibA_00472" 2 0 8 5 0 0
"HGLibA_00473" 0 0 0 0 0 0
"HGLibA_00474" 0 0 0 0 0 0
"HGLibA_00475" 2 0 0 0 0 0
"HGLibA_00476" 0 1 0 0 0 0
"HGLibA_00477" 0 0 0 0 0 0
"HGLibA_00478" 0 24 0 0 0 0
"HGLibA_00479" 0 0 0 0 0 0
"HGLibA_00480" 0 4 0 0 0 0
"HGLibA_00481" 0 0 3 5 0 0
"HGLibA_00482" 0 3 0 0 0 0
"HGLibA_00483" 0 0 0 0 0 0
"HGLibA_00484" 1 9 52 36 2 1
"HGLibA_00485" 0 0 0 0 0 0
"HGLibA_00486" 0 1 0 0 0 0
"HGLibA_00487" 0 0 0 0 0 0
"HGLibA_00488" 0 4 0 0 0 0
"HGLibA_00489" 0 4 10 14 36 47
"HGLibA_00490" 2 0 0 0 0 0
"HGLibA_00491" 1 0 0 0 0 0
"HGLibA_00492" 11 2 11 19 0 0
"HGLibA_00493" 6 13 3 6 0 0
"HGLibA_00494" 0 0 0 0 0 0
"HGLibA_00495" 1 0 18 14 0 0
"HGLibA_00496" 0 15 0 0 1 0
"HGLibA_00497" 0 14 0 0 0 0
"HGLibA_00498" 0 3 0 0 0 0
"HGLibA_00499" 0 8 0 0 0 0
"HGLibA_00500" 0 1 0 0 0 0
"HGLibA_00501" 1 0 3 1 0 0
"HGLibA_00502" 0 0 0 3 4 0
"HGLibA_00503" 13 4 0 0 0 0
"HGLibA_00504" 0 0 0 0 5 4
"HGLibA_00505" 0 0 0 0 0 0
"HGLibA_00506" 2 5 0 0 0 0
"HGLibA_00507" 4 1 1 32 20 14
"HGLibA_00508" 0 1 0 0 0 0
"HGLibA_00509" 0 1 0 0 1 2
"HGLibA_00510" 24 0 26 28 1 3
"HGLibA_00511" 0 0 0 0 0 0
"HGLibA_00512" 0 6 0 0 0 0
"HGLibA_00513" 0 4 0 0 0 0
"HGLibA_00514" 0 0 0 0 0 0
"HGLibA_00515" 0 0 0 0 0 0
"HGLibA_00516" 0 3 0 0 0 0
"HGLibA_00517" 5 6 0 0 1 0
"HGLibA_00518" 2 0 0 0 0 0
"HGLibA_00519" 0 3 0 0 0 0
"HGLibA_00520" 0 0 0 0 0 0
"HGLibA_00521" 0 0 6 12 0 0
"HGLibA_00522" 0 0 0 0 0 0
"HGLibA_00523" 3 4 0 0 0 0
"HGLibA_00524" 0 0 0 0 0 0
"HGLibA_00525" 4 2 1 1 0 0
"HGLibA_00526" 0 0 0 0 0 0
"HGLibA_00527" 0 0 0 0 0 0
"HGLibA_00528" 5 12 11 13 1 0
"HGLibA_00529" 0 1 0 0 0 1
"HGLibA_00530" 2 3 0 0 1 0
"HGLibA_00531" 0 0 0 0 0 0
"HGLibA_00532" 4 78 0 0 0 0
"HGLibA_00533" 7 1 1 2 10 6
"HGLibA_00534" 0 0 0 0 0 0
"HGLibA_00535" 2 0 0 0 0 0
"HGLibA_00536" 0 0 0 0 0 0
"HGLibA_00537" 2 25 0 0 0 0
"HGLibA_00538" 8 2 0 1 0 0
"HGLibA_00539" 3 0 0 0 0 0
"HGLibA_00540" 0 1 0 1 0 0
"HGLibA_00541" 0 0 0 0 0 0
"HGLibA_00542" 3 4 0 0 0 0
"HGLibA_00543" 0 2 29 21 6 4
"HGLibA_00544" 8 0 0 3 0 0
"HGLibA_00545" 4 5 2 4 1 0
"HGLibA_00546" 0 0 0 0 0 0
"HGLibA_00547" 6 0 0 0 0 0
"HGLibA_00548" 0 2 0 0 0 0
"HGLibA_00549" 0 0 0 0 0 0
"HGLibA_00550" 0 1 12 15 0 0
"HGLibA_00551" 3 47 0 0 0 0
"HGLibA_00552" 1 0 0 0 0 0
"HGLibA_00553" 0 0 0 0 3 6
"HGLibA_00554" 1 0 0 0 0 0
"HGLibA_00555" 0 1 0 0 0 0
"HGLibA_00556" 0 0 7 0 12 12
"HGLibA_00557" 0 0 0 0 0 0
"HGLibA_00558" 3 0 0 0 0 0
"HGLibA_00559" 0 3 4 0 0 2
"HGLibA_00560" 1 0 0 0 0 0
"HGLibA_00561" 0 0 2 0 1 0
"HGLibA_00562" 7 56 0 0 0 0
"HGLibA_00563" 5 0 0 0 0 0
"HGLibA_00564" 2 0 46 84 48 37
"HGLibA_00565" 0 1 0 14 4 1
"HGLibA_00566" 0 2 0 0 0 0
"HGLibA_00567" 16 0 0 0 0 0
"HGLibA_00568" 0 4 0 0 0 0
"HGLibA_00569" 0 0 1 1 5 1
"HGLibA_00570" 0 0 0 0 0 0
"HGLibA_00571" 1 1 2 4 0 0
"HGLibA_00572" 1 6 0 0 139 130
"HGLibA_00573" 3 4 0 0 1 0
"HGLibA_00574" 0 3 0 0 0 0
"HGLibA_00575" 0 0 0 0 0 0
"HGLibA_00576" 4 0 1 1 0 2
"HGLibA_00577" 0 0 0 0 0 0
"HGLibA_00578" 5 1 0 0 0 0
"HGLibA_00579" 1 3 0 0 0 0
"HGLibA_00580" 0 0 0 0 0 0
"HGLibA_00581" 3 9 0 0 0 0
"HGLibA_00582" 5 25 0 0 0 0
"HGLibA_00583" 0 0 0 0 0 1
"HGLibA_00584" 3 2 135 105 0 0
"HGLibA_00585" 0 0 0 0 0 0
"HGLibA_00586" 7 0 0 0 0 0
"HGLibA_00587" 1 6 0 1 1 0
"HGLibA_00588" 1 2 0 0 0 0
"HGLibA_00589" 13 6 4 4 0 0
"HGLibA_00590" 1 2 0 0 0 0
"HGLibA_00591" 0 0 0 0 0 0
"HGLibA_00592" 6 0 0 1 0 0
"HGLibA_00593" 0 7 0 0 0 0
"HGLibA_00594" 0 0 0 0 0 0
"HGLibA_00595" 0 9 0 0 1 4
"HGLibA_00596" 16 3 13 4 3 0
"HGLibA_00597" 0 0 0 0 0 1
"HGLibA_00598" 2 0 0 0 0 0
"HGLibA_00599" 0 0 0 0 0 0
"HGLibA_00600" 0 0 0 0 0 0
"HGLibA_00601" 0 1 0 0 0 0
"HGLibA_00602" 0 0 0 0 0 0
"HGLibA_00603" 1 2 0 0 0 2
"HGLibA_00604" 0 0 23 26 7 9
